id,question,expected_answer,generated_answer,answerable,relevant_pages,retrieved_pages,retrieval_hit,numerical_match,citation,cited_page,citation_matches_retrieval,abstained,status
Q11,What was Apple's diluted earnings per share in Q3 2022?,$1.20 per diluted share.,"Apple’s diluted earnings per share for the three‑month quarter ended June 25, 2022 (Q3 2022) was $1.20 per share. (Source: Page 4, Item 1. Financial Statements)",True,9,"9,7,4",True,1.0,"(Source: Page 4, Item 1. Financial Statements)",4,True,,OK
Q12,How did Apple's total net sales change between Q3 2022 and Q3 2021?,"Total net sales increased from $81,434 million to $82,959 million, an increase of approximately 2%.","Apple’s total net sales grew from $81,434 million in the third quarter of 2021 to $82,959 million in the third quarter of 2022, an increase of $1,525 million, or about 2% year‑over‑year. (Source: Page 18, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",True,18,"18,19,17,10",True,1.0,"(Source: Page 18, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",18,True,,OK
Q13,"What were Apple's net sales in the Americas for the nine months ended June 25, 2022?","$140,174 million.","Apple’s net sales in the Americas for the nine‑month period ended June 25 2022 were $129,850 million. (Source: Page 16, Note 9 – Segment Information and Geographic Data)",True,16,"18,10,16,19",True,0.0,"(Source: Page 16, Note 9 – Segment Information and Geographic Data)",16,True,,OK
Q14,"What were Apple's net sales in Europe for the nine months ended June 25, 2022?","$89,304 million.","Apple’s net sales in Europe for the nine months ended June 25 2022 were $72,323 million. (Source: Page 19, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",True,16,"18,19,16,10",True,0.0,"(Source: Page 19, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",19,True,,OK
Q15,"What were Apple's net sales in Japan for the nine months ended June 25, 2022?","$21,568 million.","Apple’s net sales in Japan for the nine months ended June 25 2022 were $20,277 million. (Source: Page 16, Note 9 – Segment Information and Geographic Data)",True,16,"18,16,19,10",True,0.0,"(Source: Page 16, Note 9 – Segment Information and Geographic Data)",16,True,,OK
Q16,"What were Apple's net sales in the rest of Asia Pacific for the nine months ended June 25, 2022?","$26,649 million.","Apple’s net sales in the Rest of Asia Pacific for the nine months ended June 25 2022 were $23,002 million. (Source: Page 19, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",True,16,"19,16,18,10,20",True,0.0,"(Source: Page 19, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",19,True,,OK
Q17,What did Apple say about its supply chain and product availability during Q3 2022?,Apple discussed supply constraints and their effects on its ability to meet demand for certain products.,"Apple said that certain outsourcing partners, component suppliers and logistical service providers had experienced COVID‑19‑related disruptions that resulted in supply shortages and that similar disruptions could occur in the future, potentially affecting product availability. (Source: Page 18, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",True,19,"19,17,18",True,1.0,"(Source: Page 18, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",18,True,,OK
Q18,What factors did Apple identify as affecting its gross margin?,"Apple discussed product and services mix, foreign exchange rates, and other factors affecting gross margin.","Apple said its gross margin can be impacted by a weakness in foreign currencies relative to the U.S. dollar, higher Services costs, changes in product mix and other factors described in its “Risk Factors” section. (Source: Page 20, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",True,20,"20,13,9",True,1.0,"(Source: Page 20, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",20,True,,OK
Q19,What was Apple's effective tax rate in Q3 2022?,Apple's effective tax rate was approximately 15.7%.,"Apple’s effective tax rate for the third quarter of 2022 was 15.7 % (Source: Page 21, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",True,22,"21,22,5",True,1.0,"(Source: Page 21, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",21,True,,OK
Q20,What accounting basis does Apple state it uses to prepare its condensed consolidated financial statements?,Apple states that its condensed consolidated financial statements are prepared in conformity with U.S. generally accepted accounting principles (GAAP).,"Apple states that its condensed consolidated financial statements are prepared in conformity with U.S. generally accepted accounting principles (GAAP) (Source: Page 9, Note 1 – Summary of Significant Accounting Policies)",True,9,"9,6,5,8,13",True,1.0,"(Source: Page 9, Note 1 – Summary of Significant Accounting Policies)",9,True,,OK
Q21,What legal matter involving Epic Games is described in Apple's Q3 2022 10-Q?,The filing describes litigation involving Epic Games concerning Apple's App Store practices and alleged violations of antitrust and unfair-competition laws.,"Apple reports that Epic Games sued Apple in the U.S. District Court for the Northern District of California alleging violations of federal and state antitrust laws and California’s unfair‑competition law based on Apple’s App Store, and Apple filed a counterclaim for breach of contract; the court ruled in Apple’s favor on nine of the ten counts and on Apple’s breach‑of‑contract claim, found certain App Store Review Guidelines to violate California law and issued an injunction, which Epic appealed and Apple cross‑appealed, receiving a stay pending appeal (Source: Page 23, Item 1. Legal Proceedings)",True,23,"23,15,19,17,16",True,1.0,"(Source: Page 23, Item 1. Legal Proceedings)",23,True,,OK
Q22,What information does Apple provide about its common stock repurchases?,"Apple provides information about shares repurchased, the periods of repurchase, and the average price paid during those periods.","Apple reports that during the nine months ended June 25 2022 it repurchased 408 million shares of its common stock for $65.0 billion under a board‑authorized share‑repurchase program, which also included 35 million shares delivered under accelerated share‑repurchase agreements totaling $6.0 billion entered into in November 2021; the program does not obligate the company to acquire a minimum amount of shares and allows repurchases in privately negotiated and/or open‑market transactions, including under Rule 10b5‑1 plans. (Source: Page 14, Note 6 – Shareholders’ Equity)",True,"14,23","14,17,23,7",True,1.0,"(Source: Page 14, Note 6 – Shareholders’ Equity)",14,True,,OK
Q23,What were Apple's Products net sales in Q3 2022 and Q3 2021?,"$63,355 million in Q3 2022 and $63,948 million in Q3 2021.","Apple’s Products net sales were $63,355 million for the quarter ended June 25 2022 and $63,948 million for the quarter ended June 26 2021. (Source: Page 4, Item 1. Financial Statements)",True,18,"18,10,4,19,21",True,1.0,"(Source: Page 4, Item 1. Financial Statements)",4,True,,OK
Q24,"What were Apple's Products and Services gross margin percentages in Q3 2022, and what was the total gross margin percentage?",Products: 34.5%; Services: 71.5%; Total: 43.3%.,"Apple’s Products gross margin percentage was 34.5 %, Services gross margin percentage was 71.5 %, and the total gross margin percentage was 43.3 % for the third quarter of 2022 (three‑month period) (Source: Page 20, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations).",True,20,"20,4,13",True,1.0,"(Source: Page 20, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",20,True,,OK
Q25,What was Apple's revenue from a product category that is not reported in the Q3 2022 10-Q?,The requested information is not available in the retrieved context or the filing.,"The information is not available in the retrieved context. (Source: Page 18, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",False,,"10,18",,,"(Source: Page 18, Item 2. Management’s Discussion and Analysis of Financial Condition and Results of Operations)",18,True,True,ABSTAINED
